source,target,distance,weight
37,49,360.4040173081758,0.3132369532453631
38,39,250.14627313613892,0.5716681875624086
38,37,250.14627313625533,0.571668187562111
38,27,259.45692846388556,0.5479349036040778
38,49,259.45692846388556,0.5479349036040778
38,28,360.404017308095,0.3132369532455262
38,50,360.404017308095,0.3132369532455262
38,26,360.4040173081758,0.3132369532453631
38,48,360.4040173081758,0.3132369532453631
39,38,250.14627313613892,0.5716681875624086
39,40,250.14627313625533,0.571668187562111
39,28,259.45692846388556,0.5479349036040778
39,50,259.45692846388556,0.5479349036040778
39,27,360.404017308095,0.3132369532455262
39,49,360.404017308095,0.3132369532455262
39,51,360.4040173081758,0.3132369532453631
39,29,360.4040173081758,0.3132369532453631
40,41,250.14627313625533,0.571668187562111
40,39,250.14627313625533,0.571668187562111
40,29,259.45692846388556,0.5479349036040778
40,51,259.45692846388556,0.5479349036040778
40,52,360.4040173081758,0.3132369532453631
40,50,360.4040173081758,0.3132369532453631
40,30,360.4040173081758,0.3132369532453631
40,28,360.4040173081758,0.3132369532453631
41,42,250.14627313625533,0.571668187562111
41,40,250.14627313625533,0.571668187562111
41,30,259.45692846388556,0.5479349036040778
41,52,259.45692846388556,0.5479349036040778
41,29,360.4040173081758,0.3132369532453631
41,53,360.4040173081758,0.3132369532453631
41,51,360.4040173081758,0.3132369532453631
41,31,360.4040173081758,0.3132369532453631
42,43,250.14627313625533,0.571668187562111
42,41,250.14627313625533,0.571668187562111
42,53,259.45692846388556,0.5479349036040778
42,31,259.45692846388556,0.5479349036040778
42,32,360.4040173081758,0.3132369532453631
42,30,360.4040173081758,0.3132369532453631
42,54,360.4040173081758,0.3132369532453631
42,52,360.4040173081758,0.3132369532453631
43,42,250.14627313625533,0.571668187562111
43,54,259.45692846388556,0.5479349036040778
43,32,259.45692846388556,0.5479349036040778
43,31,360.4040173081758,0.3132369532453631
43,53,360.4040173081758,0.3132369532453631
43,41,500.29254627251066,0.10680119211627108
43,63,518.9138569277711,0.09013964928258439
43,21,518.913856928004,0.09013964928238977
44,45,250.14627313625533,0.571668187562111
44,33,259.45692846388556,0.5479349036040778
44,55,259.45692846388556,0.5479349036040778
44,56,360.4040173081758,0.3132369532453631
44,34,360.4040173081758,0.3132369532453631
44,46,500.29254627251066,0.10680119211627108
44,64,518.9138569277711,0.09013964928258439
44,22,518.9138569277711,0.09013964928258439
45,44,250.14627313625533,0.571668187562111
45,46,250.14627313625533,0.571668187562111
45,34,259.45692846388556,0.5479349036040778
45,56,259.45692846388556,0.5479349036040778
45,57,360.4040173081758,0.3132369532453631
45,55,360.4040173081758,0.3132369532453631
45,33,360.4040173081758,0.3132369532453631
45,35,360.4040173081758,0.3132369532453631
46,47,250.14627313625533,0.571668187562111
46,45,250.14627313625533,0.571668187562111
46,57,259.45692846388556,0.5479349036040778
46,35,259.45692846388556,0.5479349036040778
46,34,360.4040173081758,0.3132369532453631
46,56,360.4040173081758,0.3132369532453631
46,58,360.4040173081758,0.3132369532453631
46,36,360.4040173081758,0.3132369532453631
47,48,250.14627313625533,0.571668187562111
47,46,250.14627313625533,0.571668187562111
47,36,259.45692846388556,0.5479349036040778
47,58,259.45692846388556,0.5479349036040778
47,35,360.4040173081758,0.3132369532453631
47,57,360.4040173081758,0.3132369532453631
47,37,360.4040173081758,0.3132369532453631
47,59,360.4040173081758,0.3132369532453631
48,47,250.14627313625533,0.571668187562111
48,49,250.14627313625533,0.571668187562111
48,59,259.45692846388556,0.5479349036040778
48,37,259.45692846388556,0.5479349036040778
48,60,360.4040173081758,0.3132369532453631
48,36,360.4040173081758,0.3132369532453631
48,38,360.4040173081758,0.3132369532453631
48,58,360.4040173081758,0.3132369532453631
49,50,250.14627313613892,0.5716681875624086
49,48,250.14627313625533,0.571668187562111
49,60,259.45692846388556,0.5479349036040778
49,38,259.45692846388556,0.5479349036040778
49,39,360.404017308095,0.3132369532455262
49,59,360.4040173081758,0.3132369532453631
49,37,360.4040173081758,0.3132369532453631
49,51,500.29254627239425,0.10680119211638225
50,49,250.14627313613892,0.5716681875624086
50,51,250.14627313625533,0.571668187562111
50,39,259.45692846388556,0.5479349036040778
50,60,360.404017308095,0.3132369532455262
50,38,360.404017308095,0.3132369532455262
50,40,360.4040173081758,0.3132369532453631
50,48,500.29254627239425,0.10680119211638225
50,52,500.29254627251066,0.10680119211627108
51,52,250.14627313625533,0.571668187562111
51,50,250.14627313625533,0.571668187562111
51,40,259.45692846388556,0.5479349036040778
51,41,360.4040173081758,0.3132369532453631
51,61,360.4040173081758,0.3132369532453631
51,39,360.4040173081758,0.3132369532453631
51,49,500.29254627239425,0.10680119211638225
51,53,500.29254627251066,0.10680119211627108
52,53,250.14627313625533,0.571668187562111
52,51,250.14627313625533,0.571668187562111
52,61,259.45692846388556,0.5479349036040778
52,41,259.45692846388556,0.5479349036040778
52,40,360.4040173081758,0.3132369532453631
52,42,360.4040173081758,0.3132369532453631
52,62,360.4040173081758,0.3132369532453631
52,50,500.29254627251066,0.10680119211627108
53,52,250.14627313625533,0.571668187562111
53,54,250.14627313625533,0.571668187562111
53,42,259.45692846388556,0.5479349036040778
53,62,259.45692846388556,0.5479349036040778
53,63,360.4040173081758,0.3132369532453631
53,41,360.4040173081758,0.3132369532453631
53,61,360.4040173081758,0.3132369532453631
53,43,360.4040173081758,0.3132369532453631
54,53,250.14627313625533,0.571668187562111
54,63,259.45692846388556,0.5479349036040778
54,43,259.45692846388556,0.5479349036040778
54,42,360.4040173081758,0.3132369532453631
54,62,360.4040173081758,0.3132369532453631
54,52,500.29254627251066,0.10680119211627108
54,74,518.9138569277711,0.09013964928258439
54,32,518.9138569277711,0.09013964928258439
55,56,250.14627313625533,0.571668187562111
55,64,259.45692846388556,0.5479349036040778
55,44,259.45692846388556,0.5479349036040778
55,45,360.4040173081758,0.3132369532453631
55,65,360.4040173081758,0.3132369532453631
55,57,500.29254627251066,0.10680119211627108
55,33,518.9138569277711,0.09013964928258439
55,75,518.913856928004,0.09013964928238977
56,57,250.14627313625533,0.571668187562111
56,55,250.14627313625533,0.571668187562111
56,65,259.45692846388556,0.5479349036040778
56,45,259.45692846388556,0.5479349036040778
56,46,360.4040173081758,0.3132369532453631
56,66,360.4040173081758,0.3132369532453631
56,64,360.4040173081758,0.3132369532453631
56,44,360.4040173081758,0.3132369532453631
57,58,250.14627313625533,0.571668187562111
57,56,250.14627313625533,0.571668187562111
57,66,259.45692846388556,0.5479349036040778
57,46,259.45692846388556,0.5479349036040778
57,45,360.4040173081758,0.3132369532453631
57,65,360.4040173081758,0.3132369532453631
57,47,360.4040173081758,0.3132369532453631
57,67,360.4040173081758,0.3132369532453631
58,57,250.14627313625533,0.571668187562111
58,59,250.14627313625533,0.571668187562111
58,67,259.45692846388556,0.5479349036040778
58,47,259.45692846388556,0.5479349036040778
58,68,360.4040173081758,0.3132369532453631
58,48,360.4040173081758,0.3132369532453631
58,46,360.4040173081758,0.3132369532453631
58,66,360.4040173081758,0.3132369532453631
59,60,250.14627313625533,0.571668187562111
59,58,250.14627313625533,0.571668187562111
59,48,259.45692846388556,0.5479349036040778
59,68,259.45692846388556,0.5479349036040778
59,47,360.4040173081758,0.3132369532453631
59,49,360.4040173081758,0.3132369532453631
59,67,360.4040173081758,0.3132369532453631
59,69,360.4040173081758,0.3132369532453631
60,59,250.14627313625533,0.571668187562111
60,69,259.45692846388556,0.5479349036040778
60,49,259.45692846388556,0.5479349036040778
60,70,360.404017308095,0.3132369532455262
60,50,360.404017308095,0.3132369532455262
60,48,360.4040173081758,0.3132369532453631
60,68,360.4040173081758,0.3132369532453631
60,58,500.29254627251066,0.10680119211627108
61,62,250.14627313625533,0.571668187562111
61,52,259.45692846388556,0.5479349036040778
61,72,259.45692846388556,0.5479349036040778
61,73,360.4040173081758,0.3132369532453631
61,51,360.4040173081758,0.3132369532453631
61,53,360.4040173081758,0.3132369532453631
61,71,360.4040173081758,0.3132369532453631
61,63,500.29254627251066,0.10680119211627108
62,63,250.14627313625533,0.571668187562111
62,61,250.14627313625533,0.571668187562111
62,73,259.45692846388556,0.5479349036040778
62,53,259.45692846388556,0.5479349036040778
62,72,360.4040173081758,0.3132369532453631
62,52,360.4040173081758,0.3132369532453631
62,54,360.4040173081758,0.3132369532453631
62,74,360.4040173081758,0.3132369532453631
63,62,250.14627313625533,0.571668187562111
63,74,259.45692846388556,0.5479349036040778
63,54,259.45692846388556,0.5479349036040778
