aspect,B11,B12,B2,B3,B4,B8,bsi,dem,evi,ndmi,ndvi,pet_apr,pet_aug,pet_dec,pet_feb,pet_jan,pet_jul,pet_jun,pet_mar,pet_may,pet_nov,pet_oct,pet_sep,rain_apr,rain_aug,rain_dec,rain_feb,rain_jan,rain_jul,rain_jun,rain_mar,rain_may,rain_nov,rain_oct,rain_sep,savi,slope,worldcover,clay_0_30,sand_0_30,silt_0_30,soc_0_30,bd_0_30,clay_sand_ratio,silt_clay_ratio,sand_silt_ratio,som,porosity,ndwi,gndvi,brightness_index,ndti,pool_IOM,pool_DPM,pool_RPM,pool_BIO,pool_HUM,annual_rain,annual_pet,aridity_index,cec_0_30
1.1364114,1.3939723,1.3776217,1.4491669,1.417837,1.5451858,1.136025,0.87866586,0.7060339,0.767352,-0.010864993,0.66743827,0.99651074,0.3355815,-1.4414467,-0.15066734,0.13504352,0.48186,0.6456372,0.3139026,0.65633684,-1.3449128,-1.6183012,-0.7054871,-1.9673653,-0.4478711,0.3776546,0.0,0.0,-1.7034963,-1.7292562,-0.798329,1.8306847,0.19716711,-0.43831784,-1.1675259,0.80059814,0.98443705,0.9266665,0.7936242366666666,0.82104305,0.9810610883333336,0.6334429433333334,0.8752008366666666,0.966604901736476,1.2361783360522456,0.8368928905281743,1.0920556343066667,0.6697355333333334,-0.1019555633517869,-0.1103473876035588,1.4828791109005883,0.005899348894535,0.029130029554502,0.0060431291377883,0.0906469370668247,0.0181293874133649,0.4894934601608534,-5.8466552300000005,-1.69594274,3.447436692349649,0.9886584166666665
0.14836977,0.6404872,0.47569057,-0.2829048,0.092964955,0.16038734,0.8370892,-0.53903323,1.583968,1.2004906,0.90439606,0.9864654,0.99651074,0.3355815,-1.4414467,-0.15066734,0.13504352,0.48186,0.6456372,0.3139026,-0.24609877,-1.3449128,-1.6183012,-0.7054871,-2.196092,-0.7665231,0.3776546,0.0,0.0,-2.1986194,-1.7292562,-0.798329,2.0182123,0.54959846,-1.2121755,-0.98181355,1.1997815,0.11006122,-0.80553365,0.8928813149999999,0.9943445666666668,1.0721730833333334,0.7656838533333333,0.9853517,0.8979596660272392,1.2008013442787002,0.9274104919471567,1.320038963146667,0.6281691698113208,0.1330570791466349,0.8000870067614503,0.1310850519518294,0.1476437127035777,0.0361516769753913,0.0072953217635794,0.1094298264536913,0.0218859652907382,0.5909210628499331,-6.93734339,-2.59837835,2.669874227515789,1.0698241166666667
0.096367575,0.7919628,0.8603094,0.5987018,0.49420926,0.67507744,0.5086443,1.0871658,0.9568722,0.47987625,-0.27530882,0.63831574,-0.9827391,1.1489199,-0.13680287,-2.8455732,2.8938377,1.2072178,0.6456372,1.9918731,1.5587724,-0.119926624,-0.28833294,1.0490211,-0.13755153,1.4640414,-1.3367776,0.0,0.0,0.27699572,0.15481113,1.0137513,-0.04459278,-1.5649897,1.8832552,-1.3532382,0.51494765,-0.76431465,0.9266665,0.90184215,1.00397216,1.0618753833333334,0.7100146333333333,0.995808265,0.8982740617030656,1.177451490078761,0.945470792296202,1.2240652278666666,0.6242232962264151,-0.2178355784771588,0.0143939659545109,0.5915962908380601,-0.0413652181523117,0.0331733655386809,0.0067684126779465,0.1015261901691978,0.0203052380338395,0.5482414269136684,0.35570493999999986,6.121904466000001,0.05810364110964547,1.2967646333333334
-0.5623269,0.7856504,0.7734854,0.8138462,0.76887405,0.7286951,0.77476704,0.1877489,0.8314531,0.7621406,0.37767068,0.74157315,-0.9827391,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,0.6456372,1.5723805,1.5587724,-0.119926624,-0.28833294,1.0490211,-0.36627823,1.1453892,-1.3367776,0.0,0.0,0.27699572,-0.080697276,1.0137513,0.14293496,-1.5649897,1.8832552,-1.3532382,0.7553248,-0.76431465,0.9266665,0.92808311,0.9755418916666666,1.0622624166666663,0.7572380249999999,0.995808265,0.9513513647419224,1.1445768220764911,0.918362427551447,1.3054783550999998,0.6242232962264151,-0.0069746464766505,0.0038175907846557,0.7490540212586181,0.0078023992522011,0.0356978285759946,0.00721540196424,0.1082310294636007,0.0216462058927201,0.5844475591034443,-0.23965462599999987,5.638523546000001,-0.04250308153275553,1.3450193
-0.9090082,0.7497275,0.7416442,0.526726,0.4851726,0.56828165,0.6369789,0.44048268,0.20435728,0.6688154,0.1827643,0.7445082,-0.9827391,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,0.6456372,1.5723805,1.5587724,-0.119926624,-0.28833294,1.0490211,-0.36627823,1.1453892,-1.3367776,0.0,0.0,-0.21812733,-0.31620568,1.0137513,0.3304627,-1.2125584,1.8832552,-1.1675259,0.68843126,0.11006122,-0.80553365,0.6821235416666667,0.6753537916666665,0.7518196116666668,0.5602022916666667,0.6916500716666666,1.0100240053191876,1.1021751423938664,0.8982923312807877,0.9657887508333334,0.7389999729559749,-0.0813067567871612,0.1352814660052586,0.5283637409576297,0.0054200438428595,0.0253256674336392,0.0053487662423302,0.0802314936349541,0.0160462987269908,0.4332500656287522,-0.24461473999999983,5.638523546000001,-0.04338276465539119,1.0104073433333334
-0.6143291,-0.14426301,-0.13769232,0.016100397,-0.2146934,-0.18636192,-0.19582717,0.18915716,-0.4227385,-0.13781913,-0.15253913,0.15042962,-0.9827391,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,0.6456372,1.152888,0.65633684,-0.119926624,-0.28833294,1.0490211,-0.595005,0.82673717,-1.3367776,0.0,0.0,-0.21812733,-0.5517141,1.0137513,0.51799047,-0.860127,1.1093975,-1.1675259,-0.1310592,-0.76431465,-0.80553365,-1.0883111666666667,-1.0987794,-1.0805815166666666,-1.0536390833333331,-1.0864993166666668,0.9904728525731978,0.9928975735646682,1.0168408241790674,-1.8164737796666663,0.99,0.1516190793865321,-0.0459568445011172,0.2010273877232234,0.0233040106033817,,,,,,-1.26140049,4.316595486000001,-0.29222114837748775,-1.0491454666666666
-0.33698404,-1.2327876,-1.1740617,-1.0447711,-1.2555336,-1.1820456,-1.33194,1.2397643,-0.798996,-1.3242074,-2.0944831,-0.93414336,0.0068858177,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,0.6456372,1.152888,0.65633684,-1.3449128,-0.28833294,0.17176704,-0.82373166,0.50808513,-0.4795615,0.0,0.0,-0.71325034,-0.5517141,-0.798329,0.7055182,-0.860127,1.1093975,-1.1675259,-1.3232789,0.11006122,-0.80553365,-1.1603542166666665,-1.1698242833333334,-1.1520036500000002,-1.1210040833333332,-1.1651784166666668,0.991904710133318,0.992803433170041,1.0154692507557015,-1.9326110396666665,0.99,0.0386600120808151,0.0295293447631697,1.2193433522204318,0.0243994919000537,,,,,,-3.0712386699999996,3.2039801677,-0.9585698129351126,-1.1303111833333332
-0.75300163,-1.1047502,-1.0048155,-0.89677155,-1.168317,-1.0833144,-1.2909579,1.9975065,-1.0498343,-1.2969303,-2.719437,-0.8785636,0.0068858177,1.1489199,-0.13680287,-0.15066734,0.13504352,0.48186,0.6456372,0.7333952,0.65633684,-1.3449128,-0.28833294,0.17176704,-1.0524584,0.50808513,-0.4795615,0.0,0.0,-0.71325034,-0.7872225,-0.798329,0.89304596,-0.5076956,0.33553985,-0.98181355,-1.2949659,1.8588129,-0.80553365,-1.1603542166666665,-1.1698242833333334,-1.1520036500000002,-1.1210040833333332,-1.1651784166666668,0.991904710133318,0.992803433170041,1.0154692507557015,-1.9326110396666665,0.99,0.07772553759784,0.0498687235005732,1.1266176595758564,0.0473721676456912,,,,,,-3.5836599499999995,2.0591295677000003,-1.7403761308730388,-1.1303111833333332
0.99773896,-1.004215,-0.8779525,-0.7420748,-1.0563821,-0.9747995,-1.2229778,2.0734067,-1.0498343,-1.2407132,-2.5987666,-0.77070135,0.0068858177,0.3355815,-0.13680287,-0.15066734,0.13504352,0.48186,0.6456372,0.7333952,0.65633684,-1.3449128,-0.28833294,0.17176704,-1.0524584,0.18943305,-0.4795615,0.0,0.0,-1.2083734,-1.022731,-0.798329,1.0805737,-0.15526426,0.33553985,-0.98181355,-1.2359698,0.11006122,-0.80553365,-1.1603542166666665,-1.1698242833333334,-1.1520036500000002,-1.1210040833333332,-1.1651784166666668,0.991904710133318,0.992803433170041,1.0154692507557015,-1.9326110396666665,0.99,0.0982235574755808,0.0730888088362,1.016409663078982,0.0670835619040282,,,,,,-4.092984510000001,1.2457911677,-3.285449934242619,-1.1303111833333332
0.9630708,0.02269369,0.08392462,0.26143572,0.040790696,0.088892534,-0.15576574,0.59101367,-0.54815763,-0.23925017,-0.45353135,0.014487688,0.0068858177,0.3355815,-1.4414467,-0.15066734,0.13504352,0.48186,0.6456372,0.7333952,0.65633684,-1.3449128,-0.28833294,-0.7054871,-1.2811852,-0.12921901,-0.4795615,0.0,0.0,-1.2083734,-1.2582394,-0.798329,1.2681015,-0.15526426,0.33553985,-0.98181355,-0.22674309,-0.76431465,0.9266665,-0.9050952233333334,-0.92297325,-0.8949977383333334,-0.8890006833333334,-0.9134050983333334,0.9806299622804164,0.988843731864132,1.031257633922922,-1.5326371780666668,0.99,1.3410737266014912,1.70955738881909,0.069158381564007,-0.5743003242126048,,,,,,-4.688343969999999,-0.9361068023,5.008343020775846,-0.8617616183333333
