soc_15-30,soc_0-5,soc_5-15,som,clay_5-15,clay_15-30,bd_0-5,bd_0_30,cec_5-15,bd_15-30,clay_0_30,sand_0_30,bd_5-15,cec_0-5,pool_RPM,porosity,pool_IOM,pool_HUM,sand_0-5,pool_BIO,clay_0-5,sand_5-15,pool_DPM,silt_0_30,silt_15-30,soc_0_30,x,y
-0.871723,-0.9163727,-0.9012312,-1.5326371780666668,-0.9076949,-0.9040114,-0.9127795,-0.9134050983333334,-0.8557629,-0.91458863,-0.9050952233333334,-0.92297325,-0.9119426,-0.8589137,,0.99,,,-0.9214452,,-0.90314734,-0.92137635,,-0.8949977383333334,-0.8985142,-0.8890006833333334,770692.6333651508,1457199.0531542036
0.5782887,0.6520125,0.62249494,1.0435568765866667,0.75016105,0.8005776,0.75319433,0.7493141883333333,0.9532454,0.7468849,0.7809885666666666,0.7023875333333333,0.75101805,0.906579,0.0866475416692147,0.7172399289308176,0.0276611355385681,0.4678967250137598,0.7065343,0.0173295083338429,0.7838765,0.7185893,0.0057765027779476,0.8206187699999999,0.80317324,0.6053114133333334,770942.779638287,1457199.0531542036
0.7344438,0.8142593,0.77833056,1.3143350229466668,0.94520295,0.980008,0.9732286,0.9696158766666666,1.1778934,0.9663248,0.9695759666666668,0.9346770833333332,0.97274613,1.1412331,0.1089602248883157,0.6341072163522012,0.0359738040778954,0.5883852143969048,0.9349498,0.0217920449776631,0.9870259,0.9424166,0.0072640149925543,1.05457495,1.0462714,0.7623753033333335,771192.9259114233,1457199.0531542036
0.68982804,0.80344284,0.81296074,1.2926691184266663,0.9289495,0.9381409,0.9732286,0.9774530266666666,1.1424227,0.9819991,0.9388083166666666,0.9407180033333334,0.97274613,1.118885,0.1071763383764859,0.6311498012578617,0.0352991508234268,0.5787522272330243,0.9349498,0.0214352676752971,0.9605282,0.93811226,0.007145089225099,1.1316299166666668,1.1374333,0.7498080733333333,771443.0721845595,1457199.0531542036
0.7344438,0.82507575,0.63981,1.2378398010999998,0.97770995,0.87234974,1.0203788,1.003706998333333,1.2251878,0.99767333,0.92216622,0.97658628,1.0044216,1.1635811,0.1026608451391122,0.6212426421383648,0.0335988907392515,0.5543685637512062,0.95986784,0.0205321690278224,0.9605282,0.95102537,0.0068440563426074,1.0809970333333334,1.1171751,0.7180045249999999,768941.6094531971,1456939.5962257397
0.8236753,0.80344284,0.74370044,1.368243870813333,0.9370762,0.9142169,1.004662,0.995808265,1.3316001,0.99767333,0.92808311,0.9663041633333334,0.9885838,1.2976692,0.1133978697528321,0.6242232962264151,0.0376591383144526,0.6123484966652935,0.9557148,0.0226795739505664,0.95169556,0.9596341,0.0075598579835221,1.0954411833333333,1.107046,0.7936449366666667,769191.7557263334,1456939.5962257397
0.7344438,0.7493606,0.77833056,1.2956874631466668,0.96958315,0.9321599,0.95751184,0.94860079,1.2606585,0.9506505,0.9523065566666666,0.92791853,0.9410707,1.2194512,0.1074248712106461,0.6420374377358491,0.0353930452623587,0.5800943045374894,0.9224908,0.0214849742421292,0.97819334,0.92089474,0.0071616580807097,0.9681405033333336,0.97536784,0.7515588533333334,769441.9019994696,1456939.5962257397
-1.0278782,-1.0786195,-1.074382,-1.8133658674,-1.0783565,-1.0774609,-1.0856636,-1.0864993166666668,-1.0331166,-1.0870057,-1.0781491166666666,-1.0895417,-1.0861576,-1.0376978,,0.99,,,-1.0917186,,-1.079799,-1.0892469,,-1.0710207333333337,-1.0707088,-1.05183635,769692.0482726059,1456939.5962257397
-1.0948018,-1.1543347,-1.1436422,-1.9326110396666665,-1.159624,-1.161195,-1.1642473,-1.1651784166666668,-1.1277053,-1.165377,-1.1603542166666665,-1.1698242833333334,-1.1653461,-1.1270899,,0.99,,,-1.1706257,,-1.1592923,-1.1710299,,-1.1520036500000002,-1.1517415,-1.1210040833333332,769942.1945457421,1456939.5962257397
-1.0948018,-1.1543347,-1.1436422,-1.9326110396666665,-1.159624,-1.161195,-1.1642473,-1.1651784166666668,-1.1277053,-1.165377,-1.1603542166666665,-1.1698242833333334,-1.1653461,-1.1270899,,0.99,,,-1.1706257,,-1.1592923,-1.1710299,,-1.1520036500000002,-1.1517415,-1.1210040833333332,770192.3408188784,1456939.5962257397
