aspect,B11,B12,B2,B3,B4,B8,bd_0-5,bd_15-30,bd_5-15,bsi,cec_0-5,cec_15-30,cec_5-15,clay_0-5,clay_15-30,clay_5-15,dem,evi,ndmi,ndvi,ph_0-5,ph_15-30,ph_5-15,sand_0-5,sand_15-30,sand_5-15,savi,silt_0-5,silt_15-30,silt_5-15,slope,soc_0-5,soc_15-30,soc_5-15,tpi,tri,worldcover,x,y,soc_0_30,clay_0_30,sand_0_30,silt_0_30,ph_0_30,bd_0_30,cec_0_30,twi
190.0,2642.0142,1865.9932,509.93646,710.37976,878.1786,2094.3787,138.0,138.0,136.0,0.14641146,209.0,211.0,207.0,238.0,336.0,261.0,872.0,0.22888926,-0.11450337,0.41247582,66.0,66.0,66.0,517.0,442.0,498.0,0.23147032,245.0,222.0,241.0,2.0,17.0,8.0,9.0,0.25,3.3333333,40.0,768941.6094531971,1457199.0531542036,9.833333,294.66666,473.16666,232.16667,66.0,137.33333,209.33333,-1.5787249
152.0,2635.3638,1803.7726,533.07117,758.53894,893.09326,2352.5674,138.0,138.0,136.0,0.098793484,215.0,214.0,212.0,239.0,347.0,258.0,871.0,0.26704037,-0.058182627,0.44929168,66.0,66.0,66.0,514.0,432.0,497.0,0.26388937,246.0,220.0,244.0,2.0,18.0,8.0,10.0,2.0,4.2222223,40.0,769191.7557263334,1457199.0531542036,10.333333,299.33334,467.33334,232.33333,66.0,137.33333,213.5,-1.4932302
132.0,2597.5178,1780.9542,502.19684,708.7953,848.4715,2218.8872,117.0,117.0,117.0,0.11217401,187.0,183.0,180.0,206.0,306.0,223.0,866.0,0.25442645,-0.07499368,0.45033816,57.0,57.0,57.0,441.0,365.0,425.0,0.2548676,211.0,186.0,209.0,3.0,15.0,7.0,9.0,1.125,4.111111,20.0,769441.9019994696,1457199.0531542036,9.0,261.66666,397.66666,197.83333,57.0,117.0,182.66667,-1.8963689
148.0,1655.6686,1150.7961,447.28873,586.08215,638.5544,1410.9099,0.0,0.0,0.0,0.09886804,0.0,0.0,0.0,0.0,0.0,0.0,861.0,0.14540097,-0.103914246,0.23852283,0.0,0.0,0.0,0.0,0.0,0.0,0.144345,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.375,2.7777777,20.0,769692.0482726059,1457199.0531542036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1264374
165.0,508.87106,408.1038,333.2121,403.58328,361.5878,308.66846,0.0,0.0,0.0,0.15449052,0.0,0.0,0.0,0.0,0.0,0.0,858.0,-0.014952387,-0.27141067,-0.1481755,0.0,0.0,0.0,0.0,0.0,0.0,-0.01644667,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.25,1.5555556,20.0,769942.1945457421,1457199.0531542036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4011974
140.0,643.763,529.3905,349.12665,418.87567,389.05157,348.4287,0.0,0.0,0.0,0.19460778,0.0,0.0,0.0,0.0,0.0,0.0,856.0,-0.0112655815,-0.32531413,-0.12835881,0.0,0.0,0.0,0.0,0.0,0.0,-0.0126281595,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-0.875,1.0,20.0,770192.3408188784,1457199.0531542036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.912023
243.0,749.68005,620.3042,365.76135,438.5021,419.23688,414.3822,0.0,0.0,0.0,0.19862618,0.0,0.0,0.0,0.0,0.0,0.0,856.0,-0.0036672403,-0.3149061,-0.08990114,0.0,0.0,0.0,0.0,0.0,0.0,-0.0046715057,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-2.0,2.0,20.0,770442.4870920145,1457199.0531542036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4011974
240.0,1831.5631,1309.6133,473.6699,630.87823,715.12115,1449.777,17.0,17.0,17.0,0.1201436,26.0,25.0,25.0,31.0,46.0,33.0,860.0,0.13169146,-0.1298754,0.19005351,8.0,8.0,8.0,64.0,52.0,62.0,0.13144036,31.0,27.0,31.0,2.0,2.0,1.0,1.0,-0.875,3.2222223,40.0,770692.6333651508,1457199.0531542036,1.1666666,39.166668,57.333332,29.0,8.0,17.0,25.166666,-2.3535967
222.0,3249.955,2281.5444,620.39594,851.5568,1099.4896,2413.7795,130.0,130.0,129.0,0.17275038,193.0,191.0,187.0,234.0,349.0,250.0,864.0,0.2287606,-0.14174503,0.37581575,62.0,62.0,62.0,481.0,397.0,467.0,0.23087044,236.0,205.0,235.0,3.0,17.0,8.0,10.0,-1.25,3.5555556,40.0,770942.779638287,1457199.0531542036,10.166667,296.83334,434.33334,220.16667,62.0,129.66667,190.0,-2.0772686
217.0,2942.3958,1991.3881,526.2722,763.3804,948.2648,2422.276,136.0,137.0,135.0,0.1310299,204.0,200.0,196.0,244.0,359.0,260.0,868.0,0.26237264,-0.09189897,0.44620973,65.0,65.0,65.0,509.0,423.0,493.0,0.26527685,248.0,218.0,247.0,3.0,18.0,8.0,11.0,-1.375,3.2222223,20.0,771192.9259114233,1457199.0531542036,10.666667,306.83334,460.66666,232.66667,65.0,136.16667,199.33333,-1.9055785
